# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.413527971133589745e-03 1.951637328602373600e-03 2.729374915361404419e-03 7.652835845947265625e-01 9.797965735197067261e-02 3.413527971133589745e-03 1.951637328602373600e-03 2.729374915361404419e-03 7.652835845947265625e-01 9.797965735197067261e-02
1.000000000000000000e+03 6.534192943945527077e-04 7.873648428358137608e-04 7.628832245245575905e-04 2.203160431236028671e-03 2.907662186771631241e-03 6.534192943945527077e-04 7.873648428358137608e-04 7.628832245245575905e-04 2.203160431236028671e-03 2.907662186771631241e-03
2.000000000000000000e+03 3.252564929425716400e-04 4.047018010169267654e-04 3.725368587765842676e-04 1.008023973554372787e-03 1.425681752152740955e-03 3.252564929425716400e-04 4.047018010169267654e-04 3.725368587765842676e-04 1.008023973554372787e-03 1.425681752152740955e-03
3.000000000000000000e+03 2.023828419623896480e-04 3.109066747128963470e-04 2.625082270242273808e-04 6.213636370375752449e-04 8.246976649388670921e-04 2.023828419623896480e-04 3.109066747128963470e-04 2.625082270242273808e-04 6.213636370375752449e-04 8.246976649388670921e-04
4.000000000000000000e+03 2.028485905611887574e-04 2.805800759233534336e-04 2.536677056923508644e-04 5.455673672258853912e-04 6.072017131373286247e-04 2.028485905611887574e-04 2.805800759233534336e-04 2.536677056923508644e-04 5.455673672258853912e-04 6.072017131373286247e-04
5.000000000000000000e+03 1.375319407088682055e-04 2.156758564524352551e-04 1.591764739714562893e-04 3.154341829940676689e-04 3.545042709447443485e-04 1.375319407088682055e-04 2.156758564524352551e-04 1.591764739714562893e-04 3.154341829940676689e-04 3.545042709447443485e-04
6.000000000000000000e+03 1.073303792509250343e-04 1.686257746769115329e-04 1.317054266110062599e-04 2.328089613001793623e-04 2.374706964474171400e-04 1.073303792509250343e-04 1.686257746769115329e-04 1.317054266110062599e-04 2.328089613001793623e-04 2.374706964474171400e-04
7.000000000000000000e+03 9.188725380226969719e-05 1.378026790916919708e-04 1.111593228415586054e-04 1.830142864491790533e-04 1.858625037129968405e-04 9.188725380226969719e-05 1.378026790916919708e-04 1.111593228415586054e-04 1.830142864491790533e-04 1.858625037129968405e-04
8.000000000000000000e+03 8.220344170695170760e-05 1.141663669841364026e-04 9.523627522867172956e-05 1.486256660427898169e-04 1.527784916106611490e-04 8.220344170695170760e-05 1.141663669841364026e-04 9.523627522867172956e-05 1.486256660427898169e-04 1.527784916106611490e-04
9.000000000000000000e+03 8.126573084155097604e-05 9.948131628334522247e-05 9.088097431231290102e-05 1.543440157547593117e-04 1.312890817644074559e-04 8.126573084155097604e-05 9.948131628334522247e-05 9.088097431231290102e-05 1.543440157547593117e-04 1.312890817644074559e-04
1.000000000000000000e+04 7.159759843489155173e-05 8.310584235005080700e-05 7.343642937485128641e-05 1.163112028734758496e-04 1.154475903604179621e-04 7.159759843489155173e-05 8.310584235005080700e-05 7.343642937485128641e-05 1.163112028734758496e-04 1.154475903604179621e-04
